date,home_team,away_team,home_rank,away_rank,home_points,away_points,home_played,away_played,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_goals_for,away_goals_for,home_goals_against,away_goals_against,result
17.10.2022,Ankaragucu,Fenerbahce,11,2,42,80,36,36,12,25,6,5,18,6,43,87,53,42,A
21.10.2022,Antalyaspor,İstanbulspor,13,12,41,41,36,36,11,12,8,5,17,19,46,47,55,63,H
22.10.2022,Ümraniyespor,Fatih Karagümrük,17,7,30,51,36,36,7,13,9,12,20,11,47,75,64,63,A
22.10.2022,Trabzonspor,Sivasspor,6,14,57,41,36,36,17,11,6,8,13,17,64,46,54,54,H
22.10.2022,Fenerbahce,Istanbul Basaksehir,2,5,80,62,36,36,25,18,5,8,6,10,87,54,42,37,H
23.10.2022,Kasimpasa,Kayserispor,10,9,43,47,36,36,12,15,7,5,17,16,45,55,61,61,A
23.10.2022,Adana Demirspor,Konyaspor,4,8,69,51,36,36,20,12,9,15,7,9,76,49,45,41,D
23.10.2022,Galatasaray,Alanyaspor,1,15,88,41,36,36,28,11,4,8,4,17,83,54,27,70,D
24.10.2022,Giresunspor,Ankaragucu,16,11,40,42,36,36,10,12,10,6,16,18,42,43,60,53,D
24.10.2022,Hatayspor,Besiktas,19,3,23,78,36,36,6,23,5,9,25,4,19,78,83,36,H
28.10.2022,Fatih Karagümrük,Galatasaray,7,1,51,88,36,36,13,28,12,4,11,4,75,83,63,27,A
29.10.2022,Konyaspor,Kasimpasa,8,10,51,43,36,36,12,12,15,7,9,17,49,45,41,61,D
29.10.2022,Alanyaspor,Gazişehir Gaziantep,15,18,41,25,36,36,11,6,8,7,17,23,54,31,70,72,H
30.10.2022,Ankaragucu,Hatayspor,11,19,42,23,36,36,12,6,6,5,18,25,43,19,53,83,H
30.10.2022,Besiktas,Ümraniyespor,3,17,78,30,36,36,23,7,9,9,4,20,78,47,36,64,H
30.10.2022,Kayserispor,Adana Demirspor,9,4,47,69,36,36,15,20,5,9,16,7,55,76,61,45,D
30.10.2022,İstanbulspor,Fenerbahce,12,2,41,80,36,36,12,25,5,5,19,6,47,87,63,42,A
31.10.2022,Istanbul Basaksehir,Giresunspor,5,16,62,40,36,36,18,10,8,10,10,16,54,42,37,60,H
31.10.2022,Sivasspor,Antalyaspor,14,13,41,41,36,36,11,11,8,8,17,17,46,46,54,55,A
04.11.2022,Kasimpasa,Ankaragucu,10,11,43,42,36,36,12,12,7,6,17,18,45,43,61,53,D
04.11.2022,Ümraniyespor,Alanyaspor,17,15,30,41,36,36,7,11,9,8,20,17,47,54,64,70,H
05.11.2022,Giresunspor,İstanbulspor,16,12,40,41,36,36,10,12,10,5,16,19,42,47,60,63,H
05.11.2022,Galatasaray,Besiktas,1,3,88,78,36,36,28,23,4,9,4,4,83,78,27,36,H
06.11.2022,Gazişehir Gaziantep,Kayserispor,18,9,25,47,36,36,6,15,7,5,23,16,31,55,72,61,A
06.11.2022,Antalyaspor,Fatih Karagümrük,13,7,41,51,36,36,11,13,8,12,17,11,46,75,55,63,H
06.11.2022,Trabzonspor,Konyaspor,6,8,57,51,36,36,17,12,6,15,13,9,64,49,54,41,D
07.11.2022,Fenerbahce,Sivasspor,2,14,80,41,36,36,25,11,5,8,6,17,87,46,42,54,H
07.11.2022,Hatayspor,Istanbul Basaksehir,19,5,23,62,36,36,6,18,5,8,25,10,19,54,83,37,D
11.11.2022,Alanyaspor,Adana Demirspor,15,4,41,69,36,36,11,20,8,9,17,7,54,76,70,45,D
11.11.2022,Ankaragucu,Trabzonspor,11,6,42,57,36,36,12,17,6,6,18,13,43,64,53,54,D
12.11.2022,Sivasspor,Ümraniyespor,14,17,41,30,36,36,11,7,8,9,17,20,46,47,54,64,D
12.11.2022,Fenerbahce,Giresunspor,2,16,80,40,36,36,25,10,5,10,6,16,87,42,42,60,A
12.11.2022,Istanbul Basaksehir,Galatasaray,5,1,62,88,36,36,18,28,8,4,10,4,54,83,37,27,A
