home_team_form,home_team_goals_scored,home_team_goals_conceded,home_team_wins,home_team_draws,home_team_losses,home_team_first_half_goals,home_team_clean_sheets,home_team_both_scored,home_team_over_25,home_team_last_5_form,home_team_last_5_goals,home_team_win_streak,home_team_unbeaten,home_team_scoring_streak,home_team_form_trend,home_team_goals_trend,home_team_conceded_trend,home_team_last_3_goals_avg,home_team_last_3_conceded_avg,home_team_first_half_dominance,home_team_second_half_dominance,home_team_comebacks,away_team_form,away_team_goals_scored,away_team_goals_conceded,away_team_wins,away_team_draws,away_team_losses,away_team_first_half_goals,away_team_clean_sheets,away_team_both_scored,away_team_over_25,away_team_last_5_form,away_team_last_5_goals,away_team_win_streak,away_team_unbeaten,away_team_scoring_streak,away_team_form_trend,away_team_goals_trend,away_team_conceded_trend,away_team_last_3_goals_avg,away_team_last_3_conceded_avg,away_team_first_half_dominance,away_team_second_half_dominance,away_team_comebacks,result,both_scored,over_25,total_goals,first_half_goals
25.0,6,11,1,0,3,1,0,4,4,0.0,6,0,0,4,1.0,0.67,1.0,1.67,3.0,0,1,1,75.0,6,4,2,2,0,0,1,3,2,0.0,6,1,4,2,-1.33,-2.0,-1.33,1.0,0.67,0,2,2,0,1,1,4,3
75.0,10,6,3,0,1,5,1,3,3,0.0,10,2,2,4,-1.0,0.67,0.67,2.67,1.67,2,1,0,62.5,4,3,2,1,1,1,2,2,2,0.0,4,0,3,0,1.0,1.33,1.0,1.33,1.0,0,2,0,1,0,0,2,0
0.0,1,8,0,0,4,0,0,1,2,0.0,1,0,0,0,0.0,0.33,1.33,0.33,2.33,0,0,0,50.0,6,4,2,0,2,2,1,2,2,0.0,6,0,0,1,2.0,0.67,-1.33,1.67,0.67,1,2,0,0,1,0,2,1
75.0,9,8,3,0,1,4,1,3,3,0.0,9,2,2,4,-1.0,1.67,2.67,2.67,2.67,3,2,0,75.0,10,3,2,2,0,5,1,3,2,0.0,10,0,4,0,1.33,3.33,1.0,3.33,1.0,2,1,0,0,0,0,0,0
16.666666666666664,3,7,0,1,2,2,1,2,2,0.0,3,0,0,1,0.0,0.0,0.0,1.0,2.33,0,0,0,75.0,10,6,3,0,1,5,1,3,4,0.0,10,0,0,4,3.0,2.0,-2.0,3.0,1.0,2,2,0,2,0,0,1,1
62.5,3,2,1,3,0,2,2,2,0,0.0,3,0,4,2,0.67,-0.33,-0.67,0.67,0.33,1,0,0,100.0,7,2,3,0,0,2,1,2,3,0.0,7,3,3,3,0.0,0.0,0.0,2.33,0.67,1,3,0,2,0,0,2,1
33.33333333333333,5,6,0,2,1,2,1,2,2,0.0,5,0,2,0,0.0,0.0,0.0,1.67,2.0,0,1,1,87.5,14,4,3,1,0,8,2,2,3,0.0,14,0,4,4,2.0,3.33,0.0,4.33,1.0,3,2,0,1,0,0,1,0
37.5,8,8,1,1,2,4,0,2,2,0.0,8,1,2,2,-2.67,-4.0,0.0,1.0,2.0,1,1,0,10.0,5,12,0,1,4,4,0,3,3,0.0,5,0,0,2,0.33,-1.67,-1.0,0.33,2.0,2,0,0,0,0,0,0,0
50.0,3,3,1,2,1,2,2,2,2,0.0,3,0,1,0,0.33,1.0,1.0,1.0,1.0,0,1,0,40.0,2,8,2,0,3,1,2,0,2,0.0,2,1,1,1,-0.5,-0.17,0.17,0.33,1.67,1,1,0,1,1,1,3,1
50.0,6,6,1,2,1,2,2,2,2,0.0,6,0,2,0,0.33,2.0,2.0,2.0,2.0,0,2,1,50.0,7,5,2,1,2,2,1,3,2,0.0,7,0,0,1,2.33,1.5,-0.83,2.0,0.67,1,3,1,1,0,0,1,1
